ZCTA5CE10,year,n_killed
32531,2017,0
32533,2017,1
32534,2017,1
32535,2017,0
32536,2017,1
32539,2017,0
32541,2017,1
32547,2017,1
32548,2017,1
32550,2017,0
32565,2017,2
32566,2017,0
32567,2017,0
32568,2017,0
32569,2017,0
32570,2017,4
32577,2017,1
32578,2017,0
32579,2017,1
32583,2017,1
32601,2017,1
32603,2017,0
32605,2017,0
32606,2017,0
32607,2017,5
32608,2017,2
32609,2017,0
32612,2017,0
32615,2017,0
32617,2017,0
32618,2017,0
32625,2017,0
32626,2017,1
32640,2017,1
32641,2017,0
32643,2017,0
32653,2017,0
32656,2017,0
32666,2017,1
32667,2017,1
32669,2017,0
32686,2017,1
32693,2017,1
32696,2017,1
32701,2017,0
32702,2017,0
32703,2017,3
32707,2017,2
32712,2017,2
32713,2017,0
32714,2017,0
32720,2017,3
32724,2017,1
32725,2017,2
32726,2017,0
32738,2017,4
32744,2017,0
32746,2017,0
32751,2017,0
32754,2017,0
32757,2017,3
32763,2017,1
32764,2017,0
32765,2017,0
32766,2017,0
32767,2017,0
32771,2017,6
32773,2017,1
32778,2017,1
32780,2017,2
32784,2017,0
32789,2017,0
32792,2017,2
32796,2017,0
32798,2017,0
32801,2017,1
32803,2017,0
32804,2017,4
32805,2017,6
32806,2017,0
32807,2017,6
32808,2017,13
32809,2017,2
32810,2017,5
32811,2017,5
32812,2017,2
32817,2017,0
32818,2017,2
32819,2017,1
32820,2017,0
32821,2017,0
32822,2017,3
32824,2017,0
32825,2017,3
32826,2017,1
32827,2017,0
32828,2017,0
32829,2017,2
32832,2017,1
32833,2017,0
32835,2017,0
32836,2017,0
32837,2017,1
32839,2017,6
32901,2017,0
32904,2017,2
32905,2017,2
32907,2017,1
32908,2017,0
32909,2017,1
32920,2017,1
32922,2017,0
32926,2017,5
32931,2017,0
32934,2017,0
32935,2017,0
32937,2017,2
32940,2017,1
32948,2017,0
32950,2017,2
32951,2017,1
32952,2017,0
32953,2017,1
32955,2017,3
32958,2017,1
32960,2017,1
32962,2017,0
32963,2017,0
32966,2017,1
32967,2017,2
32968,2017,1
32970,2017,0
33001,2017,0
33004,2017,5
33009,2017,3
33010,2017,1
33012,2017,0
33013,2017,1
33014,2017,3
33016,2017,1
33018,2017,0
33019,2017,1
33020,2017,0
33021,2017,1
33023,2017,4
33024,2017,0
33025,2017,3
33027,2017,0
33028,2017,0
33029,2017,0
33030,2017,3
33031,2017,2
33032,2017,0
33033,2017,1
33034,2017,0
33036,2017,1
33037,2017,0
33040,2017,0
33042,2017,0
33050,2017,1
33054,2017,4
33055,2017,1
33056,2017,5
33060,2017,2
33062,2017,0
33063,2017,0
33064,2017,2
33068,2017,3
33069,2017,1
33071,2017,1
33073,2017,1
33076,2017,0
33101,2017,1
33122,2017,1
33125,2017,0
33126,2017,2
33127,2017,1
33128,2017,2
33129,2017,1
33130,2017,0
33132,2017,1
33133,2017,0
33134,2017,1
33135,2017,1
33136,2017,5
33138,2017,1
33139,2017,4
33140,2017,0
33141,2017,0
33142,2017,5
33143,2017,0
33144,2017,0
33145,2017,1
33146,2017,3
33147,2017,17
33150,2017,11
33155,2017,4
33156,2017,1
33157,2017,2
33160,2017,0
33161,2017,2
33162,2017,0
33165,2017,0
33166,2017,0
33167,2017,5
33168,2017,1
33169,2017,3
33170,2017,2
33172,2017,1
33176,2017,3
33177,2017,2
33178,2017,1
33179,2017,6
33181,2017,0
33183,2017,1
33185,2017,1
33186,2017,3
33187,2017,2
33189,2017,0
33190,2017,2
33194,2017,0
33196,2017,0
33301,2017,2
33304,2017,0
33305,2017,0
33309,2017,4
33311,2017,21
33312,2017,3
33313,2017,2
33314,2017,1
33316,2017,0
33317,2017,3
33319,2017,3
33321,2017,0
33322,2017,1
33324,2017,0
33327,2017,0
33328,2017,1
33351,2017,3
33401,2017,13
33403,2017,0
33404,2017,12
33405,2017,0
33406,2017,1
33407,2017,13
33409,2017,4
33410,2017,1
33411,2017,0
33412,2017,0
33413,2017,1
33414,2017,1
33415,2017,2
33417,2017,1
33418,2017,1
33426,2017,2
33428,2017,0
33430,2017,3
33431,2017,0
33432,2017,1
33434,2017,0
33435,2017,7
33436,2017,6
33440,2017,0
33441,2017,0
33442,2017,2
33444,2017,2
33445,2017,1
33449,2017,0
33455,2017,1
33458,2017,4
33460,2017,4
33461,2017,1
33462,2017,3
33463,2017,4
33467,2017,0
33469,2017,0
33470,2017,0
33473,2017,0
33476,2017,1
33477,2017,0
33478,2017,0
33480,2017,0
33483,2017,0
33484,2017,0
33486,2017,0
33487,2017,0
33493,2017,1
33510,2017,0
33511,2017,5
33521,2017,0
33523,2017,0
33525,2017,0
33538,2017,0
33540,2017,1
33542,2017,1
33544,2017,0
33545,2017,0
33547,2017,0
33549,2017,1
33556,2017,0
33559,2017,0
33563,2017,1
33565,2017,2
33566,2017,0
33569,2017,0
33570,2017,0
33572,2017,0
33573,2017,0
33578,2017,0
33579,2017,0
33584,2017,1
33592,2017,1
33594,2017,0
33596,2017,1
33597,2017,1
33598,2017,1
33602,2017,2
33603,2017,4
33604,2017,2
33605,2017,6
33606,2017,0
33607,2017,0
33609,2017,2
33610,2017,5
33611,2017,0
33612,2017,6
33613,2017,2
33614,2017,1
33615,2017,1
33616,2017,1
33617,2017,0
33619,2017,5
33624,2017,0
33625,2017,0
33634,2017,0
33637,2017,0
33647,2017,2
33701,2017,2
33702,2017,0
33705,2017,3
33706,2017,0
33707,2017,0
33709,2017,1
33710,2017,0
33711,2017,5
33712,2017,5
33713,2017,0
33714,2017,0
33755,2017,2
33756,2017,2
33759,2017,0
33760,2017,0
33762,2017,2
33763,2017,1
33764,2017,2
33765,2017,1
33771,2017,1
33772,2017,0
33773,2017,1
33774,2017,1
33776,2017,0
33777,2017,0
33778,2017,0
33781,2017,2
33782,2017,1
33801,2017,2
33803,2017,0
33805,2017,0
33810,2017,1
33813,2017,0
33815,2017,1
33823,2017,1
33825,2017,2
33827,2017,0
33830,2017,1
33844,2017,1
33850,2017,1
33852,2017,0
33853,2017,0
33859,2017,0
33860,2017,1
33868,2017,2
33870,2017,1
33880,2017,0
33881,2017,2
33898,2017,2
33901,2017,2
33903,2017,1
33904,2017,1
33905,2017,4
33907,2017,3
33908,2017,3
33909,2017,0
33912,2017,0
33913,2017,0
33914,2017,3
33916,2017,5
33917,2017,1
33919,2017,0
33928,2017,0
33931,2017,1
33935,2017,0
33936,2017,0
33948,2017,0
33950,2017,0
33952,2017,2
33955,2017,0
33966,2017,0
33967,2017,1
33971,2017,6
33972,2017,0
33973,2017,1
33974,2017,1
33976,2017,3
33990,2017,0
33991,2017,0
33993,2017,1
34102,2017,1
34103,2017,0
34104,2017,0
34109,2017,0
34110,2017,2
34112,2017,1
34113,2017,0
34114,2017,0
34116,2017,0
34117,2017,0
34119,2017,2
34120,2017,2
34141,2017,0
34142,2017,0
34145,2017,0
34202,2017,1
34203,2017,4
34205,2017,4
34207,2017,4
34208,2017,0
34209,2017,0
34210,2017,0
34216,2017,0
34219,2017,1
34221,2017,2
34223,2017,2
34224,2017,1
34228,2017,2
34229,2017,0
34231,2017,1
34232,2017,0
34233,2017,0
34234,2017,2
34235,2017,0
34236,2017,0
34237,2017,0
34239,2017,1
34240,2017,0
34241,2017,0
34242,2017,0
34243,2017,1
34266,2017,3
34275,2017,3
34286,2017,0
34287,2017,2
34291,2017,0
34293,2017,0
34420,2017,3
34432,2017,1
34434,2017,0
34436,2017,0
34442,2017,0
34449,2017,1
34450,2017,0
34461,2017,0
34470,2017,1
34471,2017,2
34472,2017,4
34473,2017,1
34474,2017,2
34475,2017,2
34476,2017,0
34479,2017,0
34480,2017,0
34481,2017,0
34482,2017,2
34488,2017,0
34491,2017,3
34601,2017,3
34604,2017,1
34606,2017,1
34607,2017,3
34608,2017,0
34609,2017,2
34613,2017,0
34637,2017,0
34638,2017,2
34639,2017,0
34652,2017,0
34653,2017,0
34667,2017,0
34668,2017,2
34677,2017,1
34683,2017,0
34688,2017,0
34689,2017,1
34690,2017,0
34691,2017,0
34698,2017,0
34711,2017,2
34714,2017,1
34715,2017,1
34731,2017,1
34736,2017,0
34741,2017,3
34743,2017,1
34744,2017,4
34746,2017,0
34747,2017,1
34748,2017,5
34753,2017,0
34758,2017,2
34759,2017,1
34761,2017,0
34772,2017,1
34773,2017,0
34785,2017,1
34786,2017,0
34787,2017,0
34788,2017,0
34945,2017,0
34946,2017,0
34947,2017,1
34949,2017,0
34950,2017,5
34951,2017,0
34952,2017,0
34953,2017,1
34956,2017,1
34957,2017,0
34972,2017,1
34974,2017,0
34981,2017,0
34982,2017,2
34983,2017,0
34984,2017,0
34986,2017,0
34990,2017,0
34994,2017,0
34997,2017,0
